ak,anchorage borough,2
ak,fairbanks north star borough,3
ak,kenai peninsula borough,0
ak,matanuska-susitna borough,2
al,baldwin county,1
al,barbour county,0.226229015
al,calhoun county,3
al,cherokee county,0
al,crenshaw county,0
al,dale county,0.044342393
al,henry county,1
al,jackson county,0
al,jefferson county,4.694527551
al,lee county,0
al,limestone county,0.000138531
al,madison county,1.999861469
al,marion county,0
al,mobile county,0
al,russell county,0
al,shelby county,0.000241019
al,st. clair county,1.034660023
al,talladega county,0
al,washington county,0
ar,crawford county,0
ar,crittenden county,1
ar,grant county,0
ar,independence county,1
ar,jefferson county,1
ar,johnson county,0
ar,marion county,2
ar,pulaski county,1
ar,white county,1
az,apache county,1
az,coconino county,1
az,gila county,0.005211456
az,graham county,0.777777778
az,la paz county,1
az,maricopa county,11.99485525
az,mohave county,3
az,navajo county,1
az,pima county,4.222222222
az,pinal county,0.999933299
az,yavapai county,2
az,yuma county,0
ca,alameda county,3
ca,butte county,1
ca,contra costa county,2.010998298
ca,fresno county,1
ca,humboldt county,1
ca,kern county,4
ca,kings county,1
ca,los angeles county,20.9890017
ca,madera county,0
ca,merced county,2
ca,monterey county,0
ca,napa county,1
ca,orange county,2
ca,placer county,1
ca,riverside county,5
ca,sacramento county,3
ca,san bernardino county,5
ca,san diego county,6
ca,san francisco county,2
ca,san joaquin county,1
ca,san luis obispo county,1
ca,san mateo county,2
ca,santa barbara county,1
ca,santa clara county,1
ca,shasta county,3
ca,solano county,0
ca,sonoma county,0
ca,stanislaus county,0
ca,sutter county,1
ca,tehama county,1
ca,trinity county,1
ca,tulare county,3
ca,ventura county,0
ca,yuba county,1
co,adams county,4.07738971
co,arapahoe county,3
co,denver county,2
co,douglas county,2
co,el paso county,2
co,jefferson county,1.92261029
co,larimer county,2
co,las animas county,0
co,montezuma county,1
co,pueblo county,1
co,weld county,1
ct,fairfield county,0
ct,hartford county,1
ct,litchfield county,1
ct,new london county,1
dc,district of columbia county,2
de,kent county,1
de,new castle county,3
fl,alachua county,1
fl,bay county,1
fl,brevard county,1
fl,broward county,2
fl,charlotte county,0
fl,citrus county,1
fl,clay county,1
fl,duval county,5
fl,escambia county,1
fl,hernando county,1
fl,hillsborough county,0
fl,indian river county,0
fl,lee county,1
fl,manatee county,1.254850942
fl,marion county,1
fl,martin county,0.011931362
fl,miami-dade county,4.745149058
fl,nassau county,1
fl,orange county,1
fl,palm beach county,0.988068638
fl,pasco county,0
fl,pinellas county,3
fl,polk county,2
fl,putnam county,1
fl,sarasota county,0
fl,volusia county,3
ga,bibb county,0
ga,bulloch county,1
ga,cherokee county,1
ga,clayton county,1
ga,cobb county,1.999963518
ga,colquitt county,0
ga,dekalb county,0.015628865
ga,douglas county,3.65E-05
ga,effingham county,0
ga,fayette county,2
ga,forsyth county,0
ga,fulton county,2.984371135
ga,greene county,0
ga,habersham county,1
ga,houston county,1
ga,jasper county,1
ga,muscogee county,0
ga,paulding county,0
ga,polk county,0
ga,spalding county,1
ga,stewart county,1
ga,thomas county,1
hi,hawaii county,0
hi,honolulu county,0
ia,des moines county,1
ia,humboldt county,1
ia,iowa county,0.999920805
ia,keokuk county,7.92E-05
ia,polk county,1
ia,scott county,1
ia,warren county,0
id,ada county,2
id,bannock county,1
id,bonner county,1
id,canyon county,1
id,elmore county,0
id,power county,0
il,cook county,5.000086504
il,dupage county,0
il,jersey county,1
il,jo daviess county,1
il,lake county,0.999913496
il,logan county,1
il,monroe county,0
il,moultrie county,1
il,peoria county,0.999440866
il,sangamon county,0
il,st. clair county,1
il,tazewell county,0
il,winnebago county,0
il,woodford county,0.000559134
in,bartholomew county,1
in,crawford county,0
in,dearborn county,0.09877946
in,elkhart county,2
in,franklin county,1
in,hamilton county,1
in,henry county,1
in,knox county,0
in,lake county,3
in,marion county,0.90122054
in,owen county,1
in,porter county,0
in,shelby county,1
in,tippecanoe county,1
in,vanderburgh county,0
ks,cowley county,1
ks,finney county,0
ks,geary county,1
ks,harvey county,1
ks,johnson county,1
ks,leavenworth county,0
ks,marion county,1
ks,sedgwick county,1
ks,shawnee county,1
ky,anderson county,1
ky,bath county,0
ky,fulton county,0
ky,garrard county,1
ky,greenup county,1
ky,jefferson county,1
ky,knott county,0
ky,knox county,1
ky,laurel county,1
ky,madison county,0
ky,nelson county,1
ky,owsley county,0
ky,shelby county,1
ky,warren county,0
ky,wayne county,1
la,acadia parish,1
la,claiborne parish,1
la,east baton rouge parish,2
la,evangeline parish,0
la,iberia parish,0
la,jefferson parish,0
la,lincoln parish,1
la,orleans parish,1
la,ouachita parish,2
la,red river parish,1
la,sabine parish,0
la,st. martin parish,1
la,st. tammany parish,1
la,terrebonne parish,2
la,union parish,0
ma,berkshire county,0
ma,bristol county,0
ma,worcester county,0
md,baltimore city county,1.977651265
md,baltimore county,2.022348735
md,frederick county,0
md,howard county,0
md,montgomery county,0
md,prince george's county,0
me,aroostook county,0
me,cumberland county,0
me,kennebec county,1
me,lincoln county,1
me,penobscot county,1
me,somerset county,1
me,york county,1
mi,eaton county,0
mi,kalkaska county,0.068243041
mi,kent county,1
mi,livingston county,0
mi,macomb county,1
mi,manistee county,0.931756959
mi,monroe county,0.002915012
mi,oakland county,1
mi,ottawa county,0
mi,saginaw county,0
mi,st. clair county,1
mi,wayne county,1.997084988
mn,chisago county,1
mn,hennepin county,1
mn,mille lacs county,1
mn,mower county,0
mn,ramsey county,2.963711011
mn,st. louis county,1
mn,washington county,0.036288989
mo,barry county,0
mo,boone county,1
mo,buchanan county,1
mo,butler county,1
mo,callaway county,0
mo,cape girardeau county,0
mo,cass county,0
mo,christian county,0
mo,clay county,0.484647902
mo,cole county,0
mo,greene county,1
mo,jackson county,4.443568479
mo,laclede county,1
mo,lawrence county,0
mo,newton county,1
mo,platte county,0.071783619
mo,scott county,0
mo,st. louis city county,9
mo,st. louis county,1
mo,vernon county,0
ms,desoto county,2
ms,forrest county,0.985483516
ms,harrison county,0
ms,hinds county,0
ms,lamar county,0.014516484
ms,lauderdale county,1
ms,lowndes county,2
ms,madison county,0
ms,neshoba county,1
ms,rankin county,0
ms,tate county,1
ms,washington county,1
ms,yalobusha county,1
mt,cascade county,0
mt,gallatin county,1
mt,yellowstone county,2
nc,burke county,3.31E-06
nc,caldwell county,1
nc,catawba county,0.999996692
nc,chatham county,0.000118144
nc,cleveland county,1.987697817
nc,cumberland county,1
nc,durham county,2
nc,gaston county,0.012302183
nc,guilford county,1
nc,henderson county,1
nc,mecklenburg county,4
nc,orange county,1
nc,robeson county,2
nc,rowan county,1
nc,sampson county,1
nc,surry county,0
nc,union county,0
nc,wake county,0.999881856
nd,grand forks county,1
nd,morton county,0
nd,sioux county,0
nh,grafton county,0
nh,rockingham county,2
nj,camden county,1
nj,cumberland county,1
nj,essex county,3
nj,hudson county,0
nj,middlesex county,0
nj,ocean county,1
nj,passaic county,1
nm,bernalillo county,3
nm,chaves county,1
nm,cibola county,0
nm,dona ana county,1
nm,lincoln county,0
nm,mckinley county,0
nm,san juan county,1
nm,san miguel county,1
nm,santa fe county,0
nm,taos county,1
nv,clark county,5
nv,nye county,1
nv,washoe county,5
ny,bronx county,0.120214486
ny,chemung county,2
ny,erie county,1
ny,kings county,2.393607717
ny,new york county,0.157999822
ny,oneida county,0.001708596
ny,ontario county,1
ny,queens county,0.312748434
ny,richmond county,0.013720946
ny,schenectady county,0
ny,westchester county,1
oh,allen county,0.996119449
oh,ashtabula county,1
oh,butler county,2
oh,clark county,1
oh,clermont county,0
oh,cuyahoga county,2
oh,delaware county,0.000172039
oh,fairfield county,0.000306121
oh,franklin county,1.993913627
oh,greene county,6.76E-05
oh,hardin county,0
oh,jefferson county,1
oh,lucas county,0
oh,medina county,0
oh,montgomery county,2.999932383
oh,perry county,1
oh,portage county,0
oh,putnam county,0.005608213
oh,seneca county,1
oh,stark county,1.003880551
oh,summit county,1
oh,trumbull county,2
ok,adair county,0
ok,caddo county,0
ok,canadian county,0.017413383
ok,choctaw county,1
ok,cleveland county,0.035591132
ok,logan county,1
ok,mcclain county,1
